pokedex,og_name,name,characteristics_id,stats_id,picture_url
1,Bulbasaur,Bulbasaur,1,1,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png
2,Ivysaur,Ivysaur,2,2,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png
3,Venusaur,Venusaur,3,3,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
3,Venusaur,Mega Venusaur,4,4,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png
4,Charmander,Charmander,5,5,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png
5,Charmeleon,Charmeleon,6,6,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png
6,Charizard,Charizard,7,7,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
6,Charizard,Mega Charizard X,8,8,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
6,Charizard,Mega Charizard Y,9,9,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png
7,Squirtle,Squirtle,10,10,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png
8,Wartortle,Wartortle,11,11,https://assets.pokemon.com/assets/cms2/img/pokedex/full/008.png
9,Blastoise,Blastoise,12,12,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
9,Blastoise,Mega Blastoise,13,13,https://assets.pokemon.com/assets/cms2/img/pokedex/full/009.png
10,Caterpie,Caterpie,14,14,https://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png
11,Metapod,Metapod,15,15,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png
12,Butterfree,Butterfree,16,16,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png
13,Weedle,Weedle,17,17,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png
14,Kakuna,Kakuna,18,18,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png
15,Beedrill,Beedrill,19,19,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
15,Beedrill,Mega Beedrill,20,20,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png
16,Pidgey,Pidgey,21,21,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png
17,Pidgeotto,Pidgeotto,22,22,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png
18,Pidgeot,Pidgeot,23,23,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
18,Pidgeot,Mega Pidgeot,24,24,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png
19,Rattata,Rattata,25,25,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
19,Rattata,Alolan Rattata,26,26,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png
20,Raticate,Raticate,27,27,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
20,Raticate,Alolan Raticate,28,28,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png
21,Spearow,Spearow,29,29,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png
22,Fearow,Fearow,30,30,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png
23,Ekans,Ekans,31,31,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png
24,Arbok,Arbok,32,32,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png
25,Pikachu,Pikachu,33,33,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png
26,Raichu,Raichu,34,34,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
26,Raichu,Alolan Raichu,35,35,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png
27,Sandshrew,Sandshrew,36,36,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
27,Sandshrew,Alolan Sandshrew,37,37,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png
28,Sandslash,Sandslash,38,38,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
28,Sandslash,Alolan Sandslash,39,39,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png
29,Nidoran F,Nidoran F,40,40,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png
30,Nidorina,Nidorina,41,41,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png
31,Nidoqueen,Nidoqueen,42,42,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png
32,Nidoran M,Nidoran M,43,43,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png
33,Nidorino,Nidorino,44,44,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png
34,Nidoking,Nidoking,45,45,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png
35,Clefairy,Clefairy,46,46,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png
36,Clefable,Clefable,47,47,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png
37,Vulpix,Vulpix,48,48,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
37,Vulpix,Alolan Vulpix,49,49,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png
38,Ninetales,Ninetales,50,50,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
38,Ninetales,Alolan Ninetales,51,51,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png
39,Jigglypuff,Jigglypuff,52,52,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png
40,Wigglytuff,Wigglytuff,53,53,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png
41,Zubat,Zubat,54,54,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png
42,Golbat,Golbat,55,55,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png
43,Oddish,Oddish,56,56,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png
44,Gloom,Gloom,57,57,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png
45,Vileplume,Vileplume,58,58,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png
46,Paras,Paras,59,59,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png
47,Parasect,Parasect,60,60,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png
48,Venonat,Venonat,61,61,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png
49,Venomoth,Venomoth,62,62,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png
50,Diglett,Diglett,63,63,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
50,Diglett,Alolan Diglett,64,64,https://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png
51,Dugtrio,Dugtrio,65,65,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
51,Dugtrio,Alolan Dugtrio,66,66,https://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png
52,Meowth,Meowth,67,67,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
52,Meowth,Alolan Meowth,68,68,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
52,Meowth,Galarian Meowth,69,69,https://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png
53,Persian,Persian,70,70,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
53,Persian,Alolan Persian,71,71,https://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png
54,Psyduck,Psyduck,72,72,https://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png
55,Golduck,Golduck,73,73,https://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png
56,Mankey,Mankey,74,74,https://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png
57,Primeape,Primeape,75,75,https://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png
58,Growlithe,Growlithe,76,76,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
58,Growlithe,Hisuian Growlithe,77,77,https://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png
59,Arcanine,Arcanine,78,78,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
59,Arcanine,Hisuian Arcanine,79,79,https://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png
60,Poliwag,Poliwag,80,80,https://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png
61,Poliwhirl,Poliwhirl,81,81,https://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png
62,Poliwrath,Poliwrath,82,82,https://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png
63,Abra,Abra,83,83,https://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png
64,Kadabra,Kadabra,84,84,https://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png
65,Alakazam,Alakazam,85,85,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
65,Alakazam,Mega Alakazam,86,86,https://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png
66,Machop,Machop,87,87,https://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png
67,Machoke,Machoke,88,88,https://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png
68,Machamp,Machamp,89,89,https://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png
69,Bellsprout,Bellsprout,90,90,https://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png
70,Weepinbell,Weepinbell,91,91,https://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png
71,Victreebel,Victreebel,92,92,https://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png
72,Tentacool,Tentacool,93,93,https://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png
73,Tentacruel,Tentacruel,94,94,https://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png
74,Geodude,Geodude,95,95,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
74,Geodude,Alolan Geodude,96,96,https://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png
75,Graveler,Graveler,97,97,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
75,Graveler,Alolan Graveler,98,98,https://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png
76,Golem,Golem,99,99,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
76,Golem,Alolan Golem,100,100,https://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png
77,Ponyta,Ponyta,101,101,https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
77,Ponyta,Galarian Ponyta,102,102,https://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png
78,Rapidash,Rapidash,103,103,https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
78,Rapidash,Galarian Rapidash,104,104,https://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png
79,Slowpoke,Slowpoke,105,105,https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
79,Slowpoke,Galarian Slowpoke,106,106,https://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png
80,Slowbro,Slowbro,107,107,https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
80,Slowbro,Galarian Slowbro,108,108,https://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png
