No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Picture_URL,sus,amogus
1,Bulbasaur,Bulbasaur,1,0.7m,6.9kg,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,64,1059860,Ordinary,45,49,49,65,65,45,318,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,2023-02-12 00:30:00-00,2023-02-12 00:30:00+00
2,Ivysaur,Ivysaur,1,1.0m,13.0kg,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,142,1059860,Ordinary,60,62,63,80,80,60,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
3,Venusaur,Venusaur,1,2.0m,100.0kg,Grass,Poison,Overgrow,,Chlorophyll,Green,87.5,12.5,0,20,Monster,Grass,45,263,1059860,Ordinary,80,82,83,100,100,80,525,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
3,Venusaur,Mega Venusaur,1,2.4m,155.5kg,Grass,Poison,Thick Fat,,,Green,87.5,12.5,0,20,Monster,Grass,45,281,1059860,Ordinary,80,100,123,122,120,80,625,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
4,Charmander,Charmander,1,0.6m,8.5kg,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,62,1059860,Ordinary,39,52,43,60,50,65,309,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
5,Charmeleon,Charmeleon,1,1.1m,19.0kg,Fire,,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,142,1059860,Ordinary,58,64,58,80,65,80,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Charizard,1,1.7m,90.5kg,Fire,Flying,Blaze,,Solar Power,Red,87.5,12.5,0,20,Monster,Dragon,45,267,1059860,Ordinary,78,84,78,109,85,100,534,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Mega Charizard X,1,1.7m,110.5kg,Fire,Dragon,Tough Claws,,,Black,87.5,12.5,0,20,Monster,Dragon,45,285,1059860,Ordinary,78,130,111,130,85,100,634,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Mega Charizard Y,1,1.7m,100.5kg,Fire,Flying,Drought,,,Red,87.5,12.5,0,20,Monster,Dragon,45,285,1059860,Ordinary,78,104,78,159,115,100,634,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
7,Squirtle,Squirtle,1,0.5m,9.0kg,Water,,Torrent,,Rain Dish,Blue,87.5,12.5,0,20,Monster,Water1,45,63,1059860,Ordinary,44,48,65,50,64,43,314,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
