pokedex,og_name,name,generation,height,weight,type1_id,type2_id,ability1_id,ability2_id,ability_hidden_id,color_id,gender_male,gender_female,gender_unknown,egg_steps,egg_group1_id,egg_group2_id,get_rate,base_experience,experience_type,category_id,hp,attack,defence,sp_attack,sp_defence,speed,total,picture_url,created_at,updated_at
1,Bulbasaur,Bulbasaur,1,0.7m,6.9kg,1,7,1,,26,1,87.5,12.5,0,20,1,7,45,64,1059860,1,45,49,49,65,65,45,318,https://assets.pokemon.com/assets/cms2/img/pokedex/full/001.png,2023-02-12 00:30:00-00,2023-02-12 00:30:00+00
2,Ivysaur,Ivysaur,1,1.0m,13.0kg,1,7,1,,26,1,87.5,12.5,0,20,1,7,45,142,1059860,1,60,62,63,80,80,60,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/002.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
3,Venusaur,Venusaur,1,2.0m,100.0kg,1,7,1,,26,1,87.5,12.5,0,20,1,7,45,263,1059860,1,80,82,83,100,100,80,525,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
3,Venusaur,Mega Venusaur,1,2.4m,155.5kg,1,7,2,,,1,87.5,12.5,0,20,1,7,45,281,1059860,1,80,100,123,122,120,80,625,https://assets.pokemon.com/assets/cms2/img/pokedex/full/003.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
4,Charmander,Charmander,1,0.6m,8.5kg,2,,3,,80,2,87.5,12.5,0,20,1,15,45,62,1059860,1,39,52,43,60,50,65,309,https://assets.pokemon.com/assets/cms2/img/pokedex/full/004.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
5,Charmeleon,Charmeleon,1,1.1m,19.0kg,2,,3,,80,2,87.5,12.5,0,20,1,15,45,142,1059860,1,58,64,58,80,65,80,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/005.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Charizard,1,1.7m,90.5kg,2,18,3,,80,2,87.5,12.5,0,20,1,15,45,267,1059860,1,78,84,78,109,85,100,534,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Mega Charizard X,1,1.7m,110.5kg,2,17,5,,,3,87.5,12.5,0,20,1,15,45,285,1059860,1,78,130,111,130,85,100,634,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
6,Charizard,Mega Charizard Y,1,1.7m,100.5kg,2,18,4,,,2,87.5,12.5,0,20,1,15,45,285,1059860,1,78,104,78,159,115,100,634,https://assets.pokemon.com/assets/cms2/img/pokedex/full/006.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
7,Squirtle,Squirtle,1,0.5m,9.0kg,3,,6,,242,4,87.5,12.5,0,20,1,8,45,63,1059860,1,44,48,65,50,64,43,314,https://assets.pokemon.com/assets/cms2/img/pokedex/full/007.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
